game,who_won
1329,d-yellow
1330,v-red
1331,d-yellow
1332,v-red
1333,d-yellow
1334,h-red
1335,tie
1336,h-red
1337,h-yellow
1338,h-yellow
1339,h-yellow
1340,h-yellow
1341,h-red
1342,d-red
1343,tie
1344,d-red
1345,d-red
1346,h-red
1347,d-red
1348,v-red
1349,d-red
1350,d-yellow
1351,h-red
1352,h-yellow
1353,h-yellow
1354,d-red
1355,h-yellow
1356,d-red
1357,h-red
1358,v-red
1359,h-yellow
1360,v-red
1361,d-yellow
1362,d-yellow
1363,d-yellow
1364,d-red
1365,d-red
1366,h-red
1367,h-yellow
1368,d-red
1369,d-yellow
1370,h-red
1371,h-yellow
1372,h-yellow
1373,d-yellow
1374,h-yellow
1375,h-yellow
1376,d-red
1377,h-red
1378,tie
1379,tie
1380,h-yellow
1381,h-yellow
1382,d-yellow
1383,h-red
1384,d-yellow
1385,d-red
1386,d-yellow
1387,h-yellow
1388,h-red
1389,h-red
1390,h-yellow
1391,h-yellow
1392,h-yellow
1393,d-yellow
1394,tie
1395,h-red
1396,d-red
1397,tie
1398,h-yellow
1399,h-red
1400,d-yellow
1401,d-yellow
1402,h-yellow
1403,d-yellow
1404,d-yellow
1405,d-yellow
1406,h-red
1407,d-red
1408,h-red
1409,h-red
1410,d-red
1411,d-yellow
1412,d-red
1413,h-red
1414,d-yellow
1415,d-red
1416,h-yellow
1417,d-yellow
1418,d-red
1419,d-yellow
1420,h-red
1421,h-red
1422,d-yellow
1423,v-yellow
1424,d-red
1425,h-yellow
1426,d-red
1427,h-red
1428,d-yellow
1429,d-red
1430,h-yellow
1431,d-red
1432,h-yellow
1433,h-yellow
1434,d-red
1435,d-yellow
1436,d-red
1437,d-yellow
1438,v-red
1439,d-yellow
1440,d-yellow
1441,d-yellow
1442,h-red
1443,h-yellow
1444,d-yellow
1445,d-yellow
1446,d-yellow
1447,h-yellow
1448,h-yellow
1449,h-red
1450,d-red
1451,h-red
1452,d-red
1453,d-yellow
1454,d-yellow
1455,h-red
1456,h-red
1457,d-yellow
1458,h-red
1459,h-yellow
1460,d-yellow
1461,d-yellow
1462,d-red
1463,d-red
1464,h-red
1465,h-red
1466,h-yellow
1467,d-yellow
1468,tie
1469,d-red
1470,h-red
1471,d-yellow
1472,d-red
1473,v-red
1474,d-yellow
1475,h-red
1476,v-yellow
1477,v-yellow
1478,d-yellow
1479,h-red
1480,d-red
1481,h-red
1482,h-yellow
1483,d-red
1484,h-yellow
1485,d-red
1486,d-red
1487,d-yellow
1488,d-red
1489,d-yellow
1490,h-red
1491,d-red
1492,h-red
1493,v-red
1494,d-red
1495,h-yellow
1496,d-yellow
1497,d-yellow
1498,h-red
1499,h-red
1500,h-red
1501,h-red
1502,d-red
1503,h-red
1504,d-red
1505,h-red
1506,h-red
1507,h-yellow
1508,d-red
1509,tie
1510,d-yellow
1511,h-red
1512,h-red
1513,d-red
1514,h-red
1515,d-yellow
1516,v-yellow
1517,h-yellow
1518,d-yellow
1519,d-yellow
1520,h-red
1521,h-red
1522,d-red
1523,h-yellow
1524,d-red
1525,tie
1526,v-yellow
1527,d-yellow
1528,d-red
1529,h-red
1530,h-yellow
1531,h-yellow
1532,tie
1533,d-yellow
1534,d-red
1535,h-yellow
1536,h-yellow
1537,d-red
1538,tie
1539,d-yellow
1540,v-red
1541,d-yellow
1542,h-red
1543,h-red
1544,h-red
1545,h-red
1546,h-red
1547,d-red
1548,h-red
1549,h-yellow
1550,d-red
1551,h-yellow
1552,h-yellow
1553,d-red
1554,h-yellow
1555,h-red
1556,h-red
1557,h-yellow
1558,h-yellow
1559,v-yellow
1560,h-red
1561,h-yellow
1562,v-yellow
1563,d-yellow
1564,v-red
1565,h-yellow
1566,d-red
1567,h-red
1568,d-red
1569,d-red
1570,h-red
1571,h-yellow
1572,d-yellow
1573,d-yellow
1574,h-yellow
1575,h-red
1576,tie
1577,d-yellow
1578,h-red
1579,h-red
1580,h-red
1581,d-yellow
1582,h-yellow
1583,d-red
1584,d-yellow
1585,h-red
1586,d-yellow
1587,d-red
1588,h-red
1589,d-red
